L100KM,CYLINDERS,DISPLACEMENT,HORSEPOWER,WEIGHT,ACCELERATION,MODEL_YEAR,ORIGIN,CAR_NAME
15.69,8,307,130,3504,12,70,1,chevrolet chevelle malibu
18.83,8,350,165,3693,11.5,70,1,buick skylark 320
15.69,8,318,150,3436,11,70,1,plymouth satellite
17.66,8,304,150,3433,12,70,1,amc rebel sst
16.62,8,302,140,3449,10.5,70,1,ford torino
18.83,8,429,198,4341,10,70,1,ford galaxie 500
20.18,8,454,220,4354,9,70,1,chevrolet impala
20.18,8,440,215,4312,8.5,70,1,plymouth fury iii
20.18,8,455,225,4425,10,70,1,pontiac catalina
18.83,8,390,190,3850,8.5,70,1,amc ambassador dpl
18.83,8,383,170,3563,10,70,1,dodge challenger se
20.18,8,340,160,3609,8,70,1,plymouth 'cuda 340
18.83,8,400,150,3761,9.5,70,1,chevrolet monte carlo
20.18,8,455,225,3086,10,70,1,buick estate wagon (sw)
11.77,4,113,95,2372,15,70,3,toyota corona mark ii
12.84,6,198,95,2833,15.5,70,1,plymouth duster
15.69,6,199,97,2774,15.5,70,1,amc hornet
13.45,6,200,85,2587,16,70,1,ford maverick
10.46,4,97,88,2130,14.5,70,3,datsun pl510
10.87,4,97,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan
11.30,4,110,87,2672,17.5,70,2,peugeot 504
11.77,4,107,90,2430,14.5,70,2,audi 100 ls
11.30,4,104,95,2375,17.5,70,2,saab 99e
10.87,4,121,113,2234,12.5,70,2,bmw 2002
13.45,6,199,90,2648,15,70,1,amc gremlin
28.25,8,360,215,4615,14,70,1,ford f250
28.25,8,307,200,4376,15,70,1,chevy c20
25.68,8,318,210,4382,13.5,70,1,dodge d200
31.39,8,304,193,4732,18.5,70,1,hi 1200d
10.46,4,97,88,2130,14.5,71,3,datsun pl510
10.09,4,140,90,2264,15.5,71,1,chevrolet vega 2300
11.30,4,113,95,2228,14,71,3,toyota corona
11.30,4,98,?,2046,19,71,1,ford pinto
14.87,6,232,100,2634,13,71,1,amc gremlin
17.66,6,225,105,3439,15.5,71,1,plymouth satellite custom
16.62,6,250,100,3329,15.5,71,1,chevrolet chevelle malibu
14.87,6,250,88,3302,15.5,71,1,ford torino 500
15.69,6,232,100,3288,15.5,71,1,amc matador
20.18,8,350,165,4209,12,71,1,chevrolet impala
20.18,8,400,175,4464,11.5,71,1,pontiac catalina brougham
20.18,8,351,153,4154,13.5,71,1,ford galaxie 500
20.18,8,318,150,4096,13,71,1,plymouth fury iii
23.54,8,383,180,4955,11.5,71,1,dodge monaco (sw)
21.73,8,400,170,4746,12,71,1,ford country squire (sw)
21.73,8,400,175,5140,12,71,1,pontiac safari (sw)
15.69,6,258,110,2962,13.5,71,1,amc hornet sportabout (sw)
12.84,4,140,72,2408,19,71,1,chevrolet vega (sw)
14.87,6,250,100,3282,15,71,1,pontiac firebird
15.69,6,250,88,3139,14.5,71,1,ford mustang
12.28,4,122,86,2220,14,71,1,mercury capri 2000
10.09,4,116,90,2123,14,71,2,opel 1900
9.42,4,79,70,2074,19.5,71,2,peugeot 304
9.42,4,88,76,2065,14.5,71,2,fiat 124b
9.11,4,71,65,1773,19,71,3,toyota corolla 1200
8.07,4,72,69,1613,18,71,3,datsun 1200
10.46,4,97,60,1834,19,71,2,volkswagen model 111
10.87,4,91,70,1955,20.5,71,1,plymouth cricket
11.77,4,113,95,2278,15.5,72,3,toyota corona hardtop
11.30,4,97.5,80,2126,17,72,1,dodge colt hardtop
12.28,4,97,54,2254,23.5,72,2,volkswagen type 3
14.13,4,140,90,2408,19.5,72,1,chevrolet vega
13.45,4,122,86,2226,16.5,72,1,ford pinto runabout
21.73,8,350,165,4274,12,72,1,chevrolet impala
20.18,8,400,175,4385,12,72,1,pontiac catalina
18.83,8,318,150,4135,13.5,72,1,plymouth fury iii
20.18,8,351,153,4129,13,72,1,ford galaxie 500
16.62,8,304,150,3672,11.5,72,1,amc ambassador sst
25.68,8,429,208,4633,11,72,1,mercury marquis
21.73,8,350,155,4502,13.5,72,1,buick lesabre custom
23.54,8,350,160,4456,13.5,72,1,oldsmobile delta 88 royale
21.73,8,400,190,4422,12.5,72,1,chrysler newport royal
14.87,3,70,97,2330,13.5,72,3,mazda rx2 coupe
18.83,8,304,150,3892,12.5,72,1,amc matador (sw)
21.73,8,307,130,4098,14,72,1,chevrolet chevelle concours (sw)
21.73,8,302,140,4294,16,72,1,ford gran torino (sw)
20.18,8,318,150,4077,14,72,1,plymouth satellite custom (sw)
15.69,4,121,112,2933,14.5,72,2,volvo 145e (sw)
12.84,4,121,76,2511,18,72,2,volkswagen 411 (sw)
13.45,4,120,87,2979,19.5,72,2,peugeot 504 (sw)
10.87,4,96,69,2189,18,72,2,renault 12 (sw)
12.84,4,122,86,2395,16,72,1,ford pinto (sw)
10.09,4,97,92,2288,17,72,3,datsun 510 (sw)
12.28,4,120,97,2506,14.5,72,3,toyouta corona mark ii (sw)
10.09,4,98,80,2164,15,72,1,dodge colt (sw)
10.46,4,97,88,2100,16.5,72,3,toyota corolla 1600 (sw)
21.73,8,350,175,4100,13,73,1,buick century 350
20.18,8,304,150,3672,11.5,73,1,amc matador
21.73,8,350,145,3988,13,73,1,chevrolet malibu
20.18,8,302,137,4042,14.5,73,1,ford gran torino
18.83,8,318,150,3777,12.5,73,1,dodge coronet custom
23.54,8,429,198,4952,11.5,73,1,mercury marquis brougham
21.73,8,400,150,4464,12,73,1,chevrolet caprice classic
21.73,8,351,158,4363,13,73,1,ford ltd
20.18,8,318,150,4237,14.5,73,1,plymouth fury gran sedan
21.73,8,440,215,4735,11,73,1,chrysler new yorker brougham
23.54,8,455,225,4951,11,73,1,buick electra 225 custom
21.73,8,360,175,3821,11,73,1,amc ambassador brougham
15.69,6,225,105,3121,16.5,73,1,plymouth valiant
17.66,6,250,100,3278,18,73,1,chevrolet nova custom
15.69,6,232,100,2945,16,73,1,amc hornet
15.69,6,250,88,3021,16.5,73,1,ford maverick
12.28,6,198,95,2904,16,73,1,plymouth duster
10.87,4,97,46,1950,21,73,2,volkswagen super beetle
25.68,8,400,150,4997,14,73,1,chevrolet impala
23.54,8,400,167,4906,12.5,73,1,ford country
21.73,8,360,170,4654,13,73,1,plymouth custom suburb
23.54,8,350,180,4499,12.5,73,1,oldsmobile vista cruiser
15.69,6,232,100,2789,15,73,1,amc gremlin
14.13,4,97,88,2279,19,73,3,toyota carina
13.45,4,140,72,2401,19.5,73,1,chevrolet vega
12.84,4,108,94,2379,16.5,73,3,datsun 610
15.69,3,70,90,2124,13.5,73,3,maxda rx3
14.87,4,122,85,2310,18.5,73,1,ford pinto
13.45,6,155,107,2472,14,73,1,mercury capri v6
10.87,4,98,90,2265,15.5,73,2,fiat 124 sport coupe
18.83,8,350,145,4082,13,73,1,chevrolet monte carlo s
17.66,8,400,230,4278,9.5,73,1,pontiac grand prix
9.74,4,68,49,1867,19.5,73,2,fiat 128
11.77,4,116,75,2158,15.5,73,2,opel manta
14.13,4,114,91,2582,14,73,2,audi 100ls
14.87,4,121,112,2868,15.5,73,2,volvo 144ea
18.83,8,318,150,3399,11,73,1,dodge dart custom
11.77,4,121,110,2660,14,73,2,saab 99le
14.13,6,156,122,2807,13.5,73,3,toyota mark ii
25.68,8,350,180,3664,11,73,1,oldsmobile omega
14.13,6,198,95,3102,16.5,74,1,plymouth duster
13.45,6,200,?,2875,17,74,1,ford maverick
14.87,6,232,100,2901,16,74,1,amc hornet
18.83,6,250,100,3336,17,74,1,chevrolet nova
9.11,4,79,67,1950,19,74,3,datsun b210
10.87,4,122,80,2451,16.5,74,1,ford pinto
8.83,4,71,65,1836,21,74,3,toyota corolla 1200
11.30,4,140,75,2542,17,74,1,chevrolet vega
17.66,6,250,100,3781,17,74,1,chevrolet chevelle malibu classic
17.66,6,258,110,3632,18,74,1,amc matador
15.69,6,225,105,3613,16.5,74,1,plymouth satellite sebring
17.66,8,302,140,4141,14,74,1,ford gran torino
21.73,8,350,150,4699,14.5,74,1,buick century luxus (sw)
20.18,8,318,150,4457,13.5,74,1,dodge coronet custom (sw)
20.18,8,302,140,4638,16,74,1,ford gran torino (sw)
20.18,8,304,150,4257,15.5,74,1,amc matador (sw)
9.74,4,98,83,2219,16.5,74,2,audi fox
10.87,4,79,67,1963,15.5,74,2,volkswagen dasher
10.87,4,97,78,2300,14.5,74,2,opel manta
9.11,4,76,52,1649,16.5,74,3,toyota corona
8.83,4,83,61,2003,19,74,3,datsun 710
10.09,4,90,75,2125,14.5,74,1,dodge colt
11.77,4,90,75,2108,15.5,74,2,fiat 128
10.87,4,116,75,2246,14,74,2,fiat 124 tc
11.77,4,120,97,2489,15,74,3,honda civic
10.87,4,108,93,2391,15.5,74,3,subaru
9.11,4,79,67,2000,16,74,2,fiat x1.9
14.87,6,225,95,3264,16,75,1,plymouth valiant custom
15.69,6,250,105,3459,16,75,1,chevrolet nova
18.83,6,250,72,3432,21,75,1,mercury monarch
18.83,6,250,72,3158,19.5,75,1,ford maverick
17.66,8,400,170,4668,11.5,75,1,pontiac catalina
18.83,8,350,145,4440,14,75,1,chevrolet bel air
17.66,8,318,150,4498,14.5,75,1,plymouth grand fury
20.18,8,351,148,4657,13.5,75,1,ford ltd
16.62,6,231,110,3907,21,75,1,buick century
17.66,6,250,105,3897,18.5,75,1,chevroelt chevelle malibu
18.83,6,258,110,3730,19,75,1,amc matador
15.69,6,225,95,3785,19,75,1,plymouth fury
13.45,6,231,110,3039,15,75,1,buick skyhawk
14.13,8,262,110,3221,13.5,75,1,chevrolet monza 2+2
21.73,8,302,129,3169,12,75,1,ford mustang ii
9.74,4,97,75,2171,16,75,3,toyota corolla
12.28,4,140,83,2639,17,75,1,ford pinto
14.13,6,232,100,2914,16,75,1,amc gremlin
12.28,4,140,78,2592,18.5,75,1,pontiac astro
11.77,4,134,96,2702,13.5,75,3,toyota corona
11.30,4,90,71,2223,16.5,75,2,volkswagen dasher
11.77,4,119,97,2545,17,75,3,datsun 710
15.69,6,171,97,2984,14.5,75,1,ford pinto
9.74,4,90,70,1937,14,75,2,volkswagen rabbit
14.87,6,232,90,3211,17,75,1,amc pacer
12.28,4,115,95,2694,15,75,2,audi 100ls
12.28,4,120,88,2957,17,75,2,peugeot 504
12.84,4,121,98,2945,14.5,75,2,volvo 244dl
11.30,4,121,115,2671,13.5,75,2,saab 99le
8.56,4,91,53,1795,17.5,75,3,honda civic cvcc
10.09,4,107,86,2464,15.5,76,2,fiat 131
11.30,4,116,81,2220,16.9,76,2,opel 1900
11.30,4,140,92,2572,14.9,76,1,capri ii
10.87,4,98,79,2255,17.7,76,1,dodge colt
10.46,4,101,83,2202,15.3,76,2,renault 12tl
16.14,8,305,140,4215,13,76,1,chevrolet chevelle malibu classic
17.66,8,318,150,4190,13,76,1,dodge coronet brougham
18.23,8,304,120,3962,13.9,76,1,amc matador
19.48,8,351,152,4215,12.8,76,1,ford gran torino
12.84,6,225,100,3233,15.4,76,1,plymouth valiant
12.84,6,250,105,3353,14.5,76,1,chevrolet nova
11.77,6,200,81,3012,17.6,76,1,ford maverick
12.56,6,232,90,3085,17.6,76,1,amc hornet
9.74,4,85,52,2035,22.2,76,1,chevrolet chevette
11.53,4,98,60,2164,22.1,76,1,chevrolet woody
9.74,4,90,70,1937,14.2,76,2,vw rabbit
8.56,4,91,53,1795,17.4,76,3,honda civic
14.13,6,225,100,3651,17.7,76,1,dodge aspen se
15.69,6,250,78,3574,21,76,1,ford granada ghia
15.27,6,250,110,3645,16.2,76,1,pontiac ventura sj
16.14,6,258,95,3193,17.8,76,1,amc pacer d/l
9.58,4,97,71,1825,12.2,76,2,volkswagen rabbit
8.83,4,85,70,1990,17,76,3,datsun b-210
10.09,4,97,75,2155,16.4,76,3,toyota corolla
10.66,4,140,72,2565,13.6,76,1,ford pinto
14.13,4,130,102,3150,15.7,76,2,volvo 245
21.73,8,318,150,3940,13.2,76,1,plymouth volare premier v8
14.87,4,120,88,3270,21.9,76,2,peugeot 504
14.87,6,156,108,2930,15.5,76,3,toyota mark ii
17.12,6,168,120,3820,16.7,76,2,mercedes-benz 280s
17.12,8,350,180,4380,12.1,76,1,cadillac seville
21.73,8,350,145,4055,12,76,1,chevy c10
21.73,8,302,130,3870,15,76,1,ford f108
21.73,8,318,150,3755,14,76,1,dodge d100
8.97,4,98,68,2045,18.5,77,3,honda accord cvcc
9.42,4,111,80,2155,14.8,77,1,buick opel isuzu deluxe
7.85,4,79,58,1825,18.6,77,2,renault 5 gtl
11.08,4,122,96,2300,15.5,77,1,plymouth arrow gs
8.43,4,85,70,1945,16.8,77,3,datsun f-10 hatchback
16.14,8,305,145,3880,12.5,77,1,chevrolet caprice classic
16.62,8,260,110,4060,19,77,1,oldsmobile cutlass supreme
18.23,8,318,145,4140,13.7,77,1,dodge monaco brougham
18.83,8,302,130,4295,14.9,77,1,mercury cougar brougham
16.14,6,250,110,3520,16.4,77,1,chevrolet concours
13.78,6,231,105,3425,16.9,77,1,buick skylark
14.87,6,225,100,3630,17.7,77,1,plymouth volare custom
15.27,6,250,98,3525,19,77,1,ford granada
17.66,8,400,180,4220,11.1,77,1,pontiac grand prix lj
18.23,8,350,170,4165,11.4,77,1,chevrolet monte carlo landau
18.23,8,400,190,4325,12.2,77,1,chrysler cordoba
17.66,8,351,149,4335,14.5,77,1,ford thunderbird
9.74,4,97,78,1940,14.5,77,2,volkswagen rabbit custom
11.53,4,151,88,2740,16,77,1,pontiac sunbird coupe
10.87,4,97,75,2265,18.2,77,3,toyota corolla liftback
11.08,4,140,89,2755,15.8,77,1,ford mustang ii 2+2
9.26,4,98,63,2051,17,77,1,chevrolet chevette
8.43,4,98,83,2075,15.9,77,1,dodge colt m/m
9.42,4,97,67,1985,16.4,77,3,subaru dl
9.26,4,97,78,2190,14.1,77,2,volkswagen dasher
12.84,6,146,97,2815,14.5,77,3,datsun 810
13.14,4,121,110,2600,12.8,77,2,bmw 320i
13.14,3,80,110,2720,13.5,77,3,mazda rx-4
6.55,4,90,48,1985,21.5,78,2,volkswagen rabbit custom diesel
7.83,4,98,66,1800,14.4,78,1,ford fiesta
8.61,4,78,52,1985,19.4,78,3,mazda glc deluxe
7.17,4,85,70,2070,18.6,78,3,datsun b210 gx
7.83,4,91,60,1800,16.4,78,3,honda civic cvcc
14.20,8,260,110,3365,15.5,78,1,oldsmobile cutlass salon brougham
14.56,8,318,140,3735,13.2,78,1,dodge diplomat
13.99,8,302,139,3570,12.8,78,1,mercury monarch ghia
14.71,6,231,105,3535,19.2,78,1,pontiac phoenix lj
13.78,6,200,95,3155,18.2,78,1,chevrolet malibu
13.99,6,200,85,2965,15.8,78,1,ford fairmont (auto)
11.25,4,140,88,2720,15.4,78,1,ford fairmont (man)
13.78,6,225,100,3430,17.2,78,1,plymouth volare
14.56,6,232,90,3210,17.2,78,1,amc concord
13.71,6,231,105,3380,15.8,78,1,buick century special
13.58,6,200,85,3070,16.7,78,1,mercury zephyr
15.19,6,225,110,3620,18.7,78,1,dodge aspen
15.61,6,258,120,3410,15.1,78,1,amc concord d/l
14.71,8,305,145,3425,13.2,78,1,chevrolet monte carlo landau
15.96,6,231,165,3445,13.4,78,1,buick regal sport coupe (turbo)
15.61,8,302,139,3205,11.2,78,1,ford futura
16.14,8,318,140,4080,13.7,78,1,dodge magnum xe
9.42,4,98,68,2155,16.5,78,1,chevrolet chevette
10.27,4,134,95,2560,14.2,78,3,toyota corona
10.39,4,119,97,2300,14.7,78,3,datsun 510
9.14,4,105,75,2230,14.5,78,1,dodge omni
13.39,4,134,95,2515,14.8,78,3,toyota celica gt liftback
12.18,4,156,105,2745,16.7,78,1,plymouth sapporo
11.87,4,151,85,2855,17.6,78,1,oldsmobile starfire sx
11.82,4,119,97,2405,14.9,78,3,datsun 200-sx
13.92,5,131,103,2830,15.9,78,2,audi 5000
16.62,6,163,125,3140,13.6,78,2,volvo 264gl
13.08,4,121,115,2795,15.7,78,2,saab 99gle
17.44,6,163,133,3410,15.8,78,2,peugeot 604sl
8.97,4,89,71,1990,14.9,78,2,volkswagen scirocco
9.58,4,98,68,2135,16.6,78,3,honda accord lx
13.14,6,231,115,3245,15.4,79,1,pontiac lemans v6
14.27,6,200,85,2990,18.2,79,1,mercury zephyr 6
12.67,4,140,88,2890,17.3,79,1,ford fairmont 4
13.99,6,232,90,3265,18.2,79,1,amc concord dl 6
13.71,6,225,110,3360,16.6,79,1,dodge aspen 6
16.62,8,305,130,3840,15.4,79,1,chevrolet caprice classic
16.05,8,302,129,3725,13.4,79,1,ford ltd landau
17.12,8,351,138,3955,13.2,79,1,mercury grand marquis
15.52,8,318,135,3830,15.2,79,1,dodge st. regis
16.72,8,350,155,4360,14.9,79,1,buick estate wagon (sw)
18.23,8,351,142,4054,14.3,79,1,ford country squire (sw)
14.71,8,267,125,3605,15,79,1,chevrolet malibu classic (sw)
15.27,8,360,150,3940,13,79,1,chrysler lebaron town @ country (sw)
8.86,4,89,71,1925,14,79,2,vw rabbit custom
8.28,4,86,65,1975,15.2,79,3,maxda glc deluxe
7.91,4,98,80,1915,14.4,79,1,dodge colt hatchback custom
10.31,4,121,80,2670,15,79,1,amc spirit dl
11.12,5,183,77,3530,20.1,79,2,mercedes benz 300d
12.28,8,350,125,3900,17.4,79,1,cadillac eldorado
10.39,4,141,71,3190,24.8,79,2,peugeot 504
11.82,8,260,90,3420,22.2,79,1,oldsmobile cutlass salon brougham
8.26,4,105,70,2200,13.2,79,1,plymouth horizon
8.19,4,105,70,2150,14.9,79,1,plymouth horizon tc3
8.88,4,85,65,2020,19.2,79,3,datsun 210
7.57,4,91,69,2130,14.7,79,2,fiat strada custom
9.95,4,151,90,2670,16,79,1,buick skylark limited
9.81,6,173,115,2595,11.3,79,1,chevrolet citation
10.54,6,173,115,2700,12.9,79,1,oldsmobile omega brougham
8.43,4,151,90,2556,13.2,79,1,pontiac phoenix
6.81,4,98,76,2144,14.7,80,2,vw rabbit
7.41,4,89,60,1968,18.8,80,3,toyota corolla tercel
8.80,4,98,70,2120,15.5,80,1,chevrolet chevette
7.59,4,86,65,2019,16.4,80,3,datsun 310
10.09,4,151,90,2678,16.5,80,1,chevrolet citation
10.70,4,140,88,2870,18.1,80,1,ford fairmont
11.63,4,151,90,3003,20.1,80,1,amc concord
14.79,6,225,90,3381,18.7,80,1,dodge aspen
8.24,4,97,78,2188,15.8,80,2,audi 4000
9.48,4,134,90,2711,15.5,80,3,toyota corona liftback
9.03,4,120,75,2542,17.5,80,3,mazda 626
7.64,4,119,92,2434,15,80,3,datsun 510 hatchback
8.77,4,108,75,2265,15.2,80,3,toyota corolla
6.06,4,86,65,2110,17.9,80,3,mazda glc
10.13,4,156,105,2800,14.4,80,1,dodge colt
6.92,4,85,65,2110,19.2,80,3,datsun 210
6.38,4,90,48,2085,21.7,80,2,vw rabbit c (diesel)
6.51,4,90,48,2335,23.7,80,2,vw dasher (diesel)
7.76,5,121,67,2950,19.9,80,2,audi 5000s (diesel)
9.42,4,146,67,3250,21.8,80,2,mercedes-benz 240d
6.33,4,91,67,1850,13.8,80,3,honda civic 1500 gl
6.91,4,85,?,1835,17.3,80,2,renault lecar deluxe
8.36,4,97,67,2145,18,80,3,subaru dl
9.48,4,89,62,1845,15.3,80,2,vokswagen rabbit
8.64,6,168,132,2910,11.4,80,3,datsun 280-zx
11.92,3,70,100,2420,12.5,80,3,mazda rx-7 gs
8.07,4,122,88,2500,15.1,80,2,triumph tr7 coupe
11.97,4,140,?,2905,14.3,80,1,ford mustang cobra
8.72,4,107,72,2290,17,80,3,honda accord
10.39,4,135,84,2490,15.7,81,1,plymouth reliant
10.62,4,151,84,2635,16.4,81,1,buick skylark
10.95,4,156,92,2620,14.4,81,1,dodge aries wagon (sw)
12.02,6,173,110,2725,12.6,81,1,chevrolet citation
9.42,4,135,84,2385,12.9,81,1,plymouth reliant
7.23,4,79,58,1755,16.9,81,3,toyota starlet
7.24,4,86,64,1875,16.4,81,1,plymouth champ
8.05,4,81,60,1760,16.1,81,3,honda civic 1300
8.75,4,97,67,2065,17.8,81,3,subaru
7.64,4,85,65,1975,19.4,81,3,datsun 210 mpg
7.49,4,89,62,2050,17.3,81,3,toyota tercel
8.28,4,91,68,1985,16,81,3,mazda glc 4
8.14,4,105,63,2215,14.9,81,1,plymouth horizon 4
8.21,4,98,65,2045,16.2,81,1,ford escort 4w
9.45,4,98,65,2380,20.7,81,1,ford escort 2h
8.56,4,105,74,2190,14.2,81,2,volkswagen jetta
8.19,4,100,?,2320,15.8,81,2,renault 18i
8.38,4,107,75,2210,14.4,81,3,honda prelude
8.72,4,108,75,2350,16.8,81,3,toyota corolla
8.59,4,119,100,2615,14.8,81,3,datsun 200sx
8.94,4,120,74,2635,18.3,81,3,mazda 626
10.05,4,141,80,3230,20.4,81,2,peugeot 505s turbo diesel
9.20,6,145,76,3160,19.6,81,2,volvo diesel
11.12,6,168,116,2900,12.6,81,3,toyota cressida
11.67,6,146,120,2930,13.8,81,3,datsun 810 maxima
12.61,6,231,110,3415,15.8,81,1,buick century
10.62,8,350,105,3725,19,81,1,oldsmobile cutlass ls
13.99,6,200,88,3060,17.1,81,1,ford granada gl
16.05,6,225,85,3465,16.6,81,1,chrysler lebaron salon
10.09,4,112,88,2605,19.6,82,1,chevrolet cavalier
10.46,4,112,88,2640,18.6,82,1,chevrolet cavalier wagon
8.31,4,112,88,2395,18,82,1,chevrolet cavalier 2-door
9.11,4,112,85,2575,16.2,82,1,pontiac j2000 se hatchback
9.74,4,135,84,2525,16,82,1,dodge aries se
10.46,4,151,90,2735,18,82,1,pontiac phoenix
11.77,4,140,92,2865,16.4,82,1,ford fairmont futura
12.28,4,151,?,3035,20.5,82,1,amc concord dl
7.85,4,105,74,1980,15.3,82,2,volkswagen rabbit l
7.64,4,91,68,2025,18.2,82,3,mazda glc custom l
9.11,4,91,68,1970,17.6,82,3,mazda glc custom
7.43,4,105,63,2125,14.7,82,1,plymouth horizon miser
7.85,4,98,70,2125,17.3,82,1,mercury lynx l
7.85,4,120,88,2160,14.5,82,3,nissan stanza xe
7.85,4,107,75,2205,14.5,82,3,honda accord
8.31,4,108,70,2245,16.9,82,3,toyota corolla
7.43,4,91,67,1965,15,82,3,honda civic
8.83,4,91,67,1965,15.7,82,3,honda civic (auto)
7.43,4,91,67,1995,16.2,82,3,datsun 310 gx
11.30,6,181,110,2945,16.4,82,1,buick century limited
7.43,6,262,85,3015,17,82,1,oldsmobile cutlass ciera (diesel)
10.87,4,156,92,2585,14.5,82,1,chrysler lebaron medallion
12.84,6,232,112,2835,14.7,82,1,ford granada l
8.83,4,144,96,2665,13.9,82,3,toyota celica gt
7.85,4,135,84,2370,13,82,1,dodge charger 2.2
10.46,4,151,90,2950,17.3,82,1,chevrolet camaro
10.46,4,140,86,2790,15.6,82,1,ford mustang gl
6.42,4,97,52,2130,24.6,82,2,vw pickup
8.83,4,135,84,2295,11.6,82,1,dodge rampage
10.09,4,120,79,2625,18.6,82,1,ford ranger
9.11,4,119,82,2720,19.4,82,1,chevy s-10
